module,mean,var,std,min,max,p01,p05,p50,p95,p99,zero_ratio
encoder_conv.block.0,-5.575851537287235e-05,0.026265587657690048,0.162066645728509,-0.8088802099227905,0.8114240169525146,-0.39889222383499146,-0.27938419580459595,0.00016268837498500943,0.2784362733364105,0.39556899666786194,0.0005550384521484375
encoder_conv.block.1,-5.575775867328048e-05,0.026265321299433708,0.1620658239711066,-0.808876097202301,0.8114199042320251,-0.3988901972770691,-0.2793827950954437,0.00016268756007775664,0.2784348726272583,0.39556699991226196,0.0005550384521484375
encoder_conv.block.2,0.06272853165864944,0.009139789268374443,0.09560229740113176,0.0,0.8114199042320251,0.0,0.0,0.00016268756007775664,0.2784348726272583,0.39556699991226196,0.4998331069946289
encoder_se.block.avg_pool,0.0617581307888031,0.0013262627180665731,0.03641802737747575,-0.14280936121940613,0.16923663020133972,-0.01603703945875168,0.025143379345536232,0.06097286194562912,0.10773121565580368,0.12782949209213257,0.0
encoder_se.block.fc.0,-0.02765713445842266,2.5708091925480403e-05,0.005071300811969292,-0.04273129254579544,-0.016194064170122147,-0.040683913975954056,-0.03469523787498474,-0.027327531948685646,-0.02058752253651619,-0.017558667808771133,0.0
encoder_se.block.fc.1,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
encoder_se.block.fc.2,0.0,0.0,0.0001,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0
encoder_se.block.fc.3,0.5,0.0,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
encoder_fc,-0.0009036898845806718,0.02393357641994953,0.15470483644653626,-0.8108075857162476,0.778725802898407,-0.3619961738586426,-0.25537410378456116,-0.0007889159023761749,0.2523261606693268,0.36055788397789,0.000545501708984375
decoder_fc,0.0001399199536535889,0.008042678236961365,0.08968103610552994,-0.45660078525543213,0.4501725733280182,-0.2096286416053772,-0.14717265963554382,0.00015182048082351685,0.14757977426052094,0.20932719111442566,0.0009250640869140625
refine.0,6.490281521109864e-07,0.002660502912476659,0.051580160066411765,-0.32414108514785767,0.3057953715324402,-0.12334859371185303,-0.08483453840017319,9.130071703111753e-06,0.08482570946216583,0.12343353033065796,0.0016639232635498047
refine.1,6.490317900897935e-07,0.002660475904121995,0.051579898256219885,-0.32413944602012634,0.305793821811676,-0.12334796786308289,-0.08483410626649857,9.130026228376664e-06,0.08482527732849121,0.12343290448188782,0.0016639232635498047
refine.2,0.020321186631917953,0.000917471363209188,0.03028995482349203,0.0,0.305793821811676,0.0,0.0,9.130026228376664e-06,0.08482527732849121,0.12343290448188782,0.5007679462432861
refine.3,0.0012518446892499924,0.0004169133317191154,0.02041870053943481,-0.1089426651597023,0.13719962537288666,-0.04540538415312767,-0.03155785799026489,0.0008111544884741306,0.035562701523303986,0.05142243951559067,0.003991246223449707
refine.4,0.0012518384028226137,0.00041690911166369915,0.020418597201171756,-0.10894211381673813,0.13719892501831055,-0.045405153185129166,-0.03155769780278206,0.0008111502975225449,0.03556252270936966,0.051422178745269775,0.003991365432739258
refine.5,0.008705459535121918,0.00016062534996308386,0.012674200170546615,0.0,0.13719892501831055,0.0,0.0,0.0008111502975225449,0.03556252270936966,0.051422178745269775,0.48568272590637207
refine_se.block.avg_pool,0.008705459535121918,4.064089444000274e-05,0.006375805395399293,0.0014647142961621284,0.023754989728331566,0.0016653864877298474,0.0018038854468613863,0.005646868608891964,0.020510878413915634,0.02188161388039589,0.0
refine_se.block.fc.0,-0.0031598967034369707,3.217582644765571e-08,0.00020536753990749293,-0.0036750840954482555,-0.0026894977781921625,-0.003558920230716467,-0.003472809214144945,-0.003155954647809267,-0.002851847093552351,-0.0027183035854250193,0.0
refine_se.block.fc.1,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
refine_se.block.fc.2,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
refine_se.block.fc.3,0.5,0.0,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
refine_out.0,0.009563431143760681,0.0001452831638744101,0.012053761399430889,-0.041771356016397476,0.07155197113752365,-0.016846880316734314,-0.00977187417447567,0.009308315813541412,0.02980857715010643,0.03850863501429558,0.004992485046386719
refine_out.1,0.009561670944094658,0.00014521075354423374,0.01205075738467229,-0.0417470782995224,0.07143011689186096,-0.016845285892486572,-0.009771563112735748,0.009308047592639923,0.029799751937389374,0.03848960995674133,0.004992485046386719
encoder_conv.block.0,-0.0022545212414115667,0.027905160561203957,0.16704840783797958,-0.7526242733001709,0.9879428744316101,-0.4057740569114685,-0.29363182187080383,-0.0006541148759424686,0.28380170464515686,0.40434929728507996,0.00048542022705078125
encoder_conv.block.1,-0.0022545098327100277,0.027904877439141273,0.1670475604106246,-0.7526204586029053,0.987937867641449,-0.40577200055122375,-0.29363033175468445,-0.0006541116163134575,0.28380027413368225,0.4043472409248352,0.00048542022705078125
encoder_conv.block.2,0.06381446123123169,0.00948308501392603,0.09738118408566425,0.0,0.987937867641449,0.0,0.0,0.0,0.28380027413368225,0.4043472409248352,0.5018415451049805
encoder_se.block.avg_pool,0.06657734513282776,0.0011385766556486487,0.033742949717661744,-0.00024013500660657883,0.24204552173614502,0.011799811385571957,0.027155959978699684,0.06527715921401978,0.11268900334835052,0.1355631947517395,0.0
encoder_se.block.fc.0,-0.02919284999370575,6.356959784170613e-05,0.007973681573884558,-0.07652760297060013,-0.017416905611753464,-0.05598185956478119,-0.037364497780799866,-0.027967020869255066,-0.020923983305692673,-0.018098484724760056,0.0
encoder_se.block.fc.1,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
encoder_se.block.fc.2,0.0,0.0,0.0001,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0
encoder_se.block.fc.3,0.5,0.0,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
encoder_fc,-0.001572724198922515,0.02474251389503479,0.15729756480961424,-0.7279869914054871,0.6634332537651062,-0.36781632900238037,-0.26044559478759766,-0.0016823392361402512,0.2581726014614105,0.36569976806640625,0.000499725341796875
decoder_fc,7.619190000696108e-06,0.008325273171067238,0.09124298970916746,-0.46912431716918945,0.4328885078430176,-0.21337001025676727,-0.15005171298980713,6.955012213438749e-05,0.15006548166275024,0.21279379725456238,0.000873565673828125
refine.0,6.962598490645178e-06,0.002752461936324835,0.05246400610251599,-0.30323708057403564,0.306790828704834,-0.12518703937530518,-0.086238794028759,1.0473502698005177e-05,0.0863092690706253,0.12554645538330078,0.0015552043914794922
refine.1,6.96256392984651e-06,0.0027524337638169527,0.05246373760815133,-0.3032355308532715,0.3067892789840698,-0.12518639862537384,-0.08623835444450378,1.0473449947312474e-05,0.08630882948637009,0.12554581463336945,0.0015552043914794922
refine.2,0.020679917186498642,0.0009495395934209228,0.030814762589072835,0.0,0.3067892789840698,0.0,0.0,1.0473449947312474e-05,0.08630882948637009,0.12554581463336945,0.5006892681121826
refine.3,0.0012650969438254833,0.000431250489782542,0.020766812220043354,-0.11022825539112091,0.1275896281003952,-0.04615713655948639,-0.03208509832620621,0.0008200003067031503,0.03615422546863556,0.05226520448923111,0.003962874412536621
refine.4,0.001265090424567461,0.0004312461242079735,0.020766707110371964,-0.11022769659757614,0.12758898735046387,-0.046156901866197586,-0.032084934413433075,0.0008199962321668863,0.036154042929410934,0.05226493999361992,0.003962874412536621
refine.5,0.00885152630507946,0.00016603538824710995,0.012885860011932069,0.0,0.12758898735046387,0.0,0.0,0.0008199962321668863,0.036154042929410934,0.05226493999361992,0.48587846755981445
refine_se.block.avg_pool,0.00885152630507946,4.198328315396793e-05,0.006480222461765332,0.0016511378344148397,0.023831862956285477,0.0017046795692294836,0.0018328323494642973,0.005975870881229639,0.0207881610840559,0.02227519452571869,0.0
refine_se.block.fc.0,-0.003228346351534128,2.098249751725234e-08,0.00017601845788795087,-0.003645428689196706,-0.0028699084650725126,-0.00357232429087162,-0.0034841003362089396,-0.003216300392523408,-0.0029976600781083107,-0.002976799150928855,0.0
refine_se.block.fc.1,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
refine_se.block.fc.2,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
refine_se.block.fc.3,0.5,0.0,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
refine_out.0,0.009724492207169533,0.00015008216723799706,0.012251210847830391,-0.04297855496406555,0.07236890494823456,-0.017070457339286804,-0.009916005656123161,0.009446426294744015,0.03029869869351387,0.03910692781209946,0.0048427581787109375
refine_out.1,0.009722644463181496,0.00015000507119111717,0.012248063977262576,-0.04295211285352707,0.07224283367395401,-0.01706879958510399,-0.009915681555867195,0.00944614503532648,0.030289430171251297,0.03908700495958328,0.0048427581787109375
encoder_conv.block.0,-0.002666898537427187,0.027456630021333694,0.1657004526889824,-0.7250905632972717,0.8636729121208191,-0.4026886820793152,-0.29239583015441895,-0.00112546153832227,0.2803066372871399,0.3977581858634949,0.0005130767822265625
encoder_conv.block.1,-0.0026668852660804987,0.02745634876191616,0.1656996039884108,-0.7250868678092957,0.8636685609817505,-0.4026866555213928,-0.29239434003829956,-0.0011254558339715004,0.2803052067756653,0.3977561593055725,0.0005130767822265625
encoder_conv.block.2,0.06325847655534744,0.009233432821929455,0.09609080508523932,0.0,0.8636685609817505,0.0,0.0,0.0,0.2803052067756653,0.3977561593055725,0.5030307769775391
encoder_se.block.avg_pool,0.06661900132894516,0.0011174309765920043,0.03342814647257614,0.003680190071463585,0.25306421518325806,0.013688050210475922,0.026880573481321335,0.07174384593963623,0.11496583372354507,0.13150924444198608,0.0
encoder_se.block.fc.0,-0.028940917924046516,6.667253182968125e-05,0.008165937290334848,-0.08004960417747498,-0.019050421193242073,-0.05566764250397682,-0.03722181171178818,-0.026624225080013275,-0.02242087945342064,-0.019793221727013588,0.0
encoder_se.block.fc.1,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
encoder_se.block.fc.2,0.0,0.0,0.0001,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0
encoder_se.block.fc.3,0.5,0.0,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
encoder_fc,-0.001643959665670991,0.024522101506590843,0.15659537511239227,-0.684848427772522,0.7363265156745911,-0.36553335189819336,-0.25921979546546936,-0.0019655097275972366,0.2551407217979431,0.3648875653743744,0.000507354736328125
decoder_fc,8.847226854413748e-05,0.008251961320638657,0.09084036173771358,-0.48049986362457275,0.4597700834274292,-0.21235287189483643,-0.14934857189655304,0.00019713817164301872,0.14940480887889862,0.2120295763015747,0.0008754730224609375
refine.0,1.3095450412947685e-05,0.002726527163758874,0.05221625382731773,-0.32673799991607666,0.3006956875324249,-0.12490566819906235,-0.08581338077783585,-1.5807210047569242e-06,0.08591517806053162,0.12517566978931427,0.0015897750854492188
refine.1,1.309538674831856e-05,0.0027264996897429228,0.052215990747499205,-0.32673633098602295,0.30069416761398315,-0.12490503489971161,-0.08581294864416122,-1.580712932991446e-06,0.085914745926857,0.12517502903938293,0.0015897750854492188
refine.2,0.020573345944285393,0.0009410490747541189,0.030676686176217258,0.0,0.30069416761398315,0.0,0.0,0.0,0.085914745926857,0.12517502903938293,0.5008082389831543
refine.3,0.0012644515372812748,0.0004275831743143499,0.020678326197116386,-0.11519942432641983,0.15341779589653015,-0.04599364846944809,-0.03198583051562309,0.0008262781193479896,0.035994067788124084,0.05208928510546684,0.003954648971557617
refine.4,0.0012644450180232525,0.0004275788087397814,0.02067822063766081,-0.11519884318113327,0.15341702103614807,-0.045993413776159286,-0.03198566660284996,0.0008262739283964038,0.03599388524889946,0.05208902060985565,0.003954768180847168
refine.5,0.008812496438622475,0.00016466659144498408,0.012832637743074651,0.0,0.15341702103614807,0.0,0.0,0.0008262739283964038,0.03599388524889946,0.05208902060985565,0.48550093173980713
refine_se.block.avg_pool,0.008812496438622475,4.162777986493893e-05,0.006452734293688136,0.0013189922319725156,0.023597825318574905,0.001701838686130941,0.0018261346267536283,0.005464423913508654,0.020791510120034218,0.022224975749850273,0.0
